,Song ,Artist(s) ,Writer(s) ,Album ,Year ,Ref. 
78,"""Illicit Affairs"" ",Taylor Swift ,Taylor SwiftJack Antonoff ,Folklore ,2020 ,[14] 
79,"""Innocent"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
80,"""Invisible"" ",Taylor Swift ,Taylor Swift Robert Ellis Orrall ,Taylor Swift(Deluxe edition) ,2007 ,[2] 
81,"""Invisible String"" ",Taylor Swift ,Taylor SwiftAaron Dessner ,Folklore ,2020 ,[14] 
82,"""It's Nice to Have a Friend"" ",Taylor Swift ,Taylor SwiftLouis BellFrank Dukes ,Lover ,2019 ,[16] 
83,"""I'm Only Me When I'm with You"" ",Taylor Swift ,Taylor Swift Robert Ellis Orrall Angelo Petraglia ,Taylor Swift (Deluxe edition) ,2007 ,[2] 
84," ""Jump Then Fall"" ",Taylor Swift ,Taylor Swift ,Fearless (Platinum edition) and Valentine's Day: Soundtrack ,2009 ,[23][36] 
85," ""King of My Heart"" ",Taylor Swift ,Taylor Swift Max Martin Shellback ,Reputation ,2017 ,[12] 
86,"""The Lakes"" ",Taylor Swift ,Taylor Swift Jack Antonoff ,Folklore (Deluxe edition) ,2020 ,[14] 
87,"""Last Christmas"" (cover) ",Taylor Swift ,George Michael ,Sounds of the Season ,2007 ,[28] 
88,"""The Last Great American Dynasty"" ",Taylor Swift ,Taylor SwiftAaron Dessner ,Folklore ,2020 ,[14] 
89,"""Last Kiss"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
90,"""The Last Time"" ",Taylor Swift featuring Gary Lightbody of Snow Patrol ,Taylor Swift Gary Lightbody Jacknife Lee ,Red ,2012 ,[8] 
91,"""Long Live"" ",Taylor Swift ,Taylor Swift ,Speak Now ,2010 ,[6] 
92,"""Long Live"" (single version) ",Taylor Swift featuring Paula Fernandes ,Taylor Swift Paula Fernandes ,Speak Now World Tour – Live ,2012 ,[24] 
93,"""London Boy"" ",Taylor Swift ,Taylor SwiftJack AntonoffCautious ClaySounwave ,Lover ,2019 ,[16] 
94,"""Look What You Made Me Do"" ",Taylor Swift ,Taylor Swift Jack Antonoff Fred Fairbrass Richard Fairbrass Rob Manzoli[d] ,Reputation ,2017 ,[12] 
95,"""Love Story"" ",Taylor Swift ,Taylor Swift ,Fearless ,2008 ,[23] 
96,"""Lover"" ",Taylor Swift ,Taylor Swift ,Lover ,2019 ,[38] 
97,"""Lover (Remix)"" ",Taylor Swift featuring Shawn Mendes ,Taylor SwiftShawn MendesScott Harris ,Non-album single[e] ,2019 ,[39] 
98,"""The Lucky One"" ",Taylor Swift ,Taylor Swift ,Red ,2012 ,[8] 
99," ""Macavity"" (cover) ",Taylor Swiftand Idris Elba ,Andrew Lloyd WebberT. S. Eliot ,Cats: Highlights from the Motion Picture Soundtrack ,2019 ,[40] 
100,"""Mad Woman"" ",Taylor Swift ,Taylor SwiftAaron Dessner ,Folklore ,2020 ,[14] 
101,"""The Man"" ",Taylor Swift ,Taylor SwiftJoel Little ,Lover ,2019 ,[16] 
102,"""Mary's Song (Oh My My My)"" ",Taylor Swift ,Taylor Swift Liz Rose Brian Maher ,Taylor Swift ,2006 ,[2] 
103,"""Me!"" ",Taylor Swift featuring Brendon Urie of Panic! at the Disco ,Taylor Swift Joel Little Brendon Urie ,Lover ,2019 ,[41] 
